idx,N,iters,cost_min_sum,num_routes,len_routes,objective,v_speeds,elapsed_s
72,120,18000,124.365127,29,4;3;5;6;5;4;6;4;4;3;4;3;9;7;5;5;4;3;4;3;3;4;4;3;5;3;2;3;2,time,0.25;0.2;0.166667;0.142857;0.125,1945.741422
73,120,18000,154.332580,31,4;3;5;3;4;4;4;6;4;3;5;3;4;4;4;4;4;3;4;3;5;7;3;3;3;4;3;5;3;4;2,time,0.25;0.2;0.166667;0.142857;0.125,1919.686496
74,120,18000,192.171275,32,4;5;3;3;4;5;3;3;3;3;6;6;4;4;3;4;3;4;3;6;3;3;4;3;3;5;3;5;4;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,1894.338934
75,120,18000,181.922325,32,4;3;5;3;4;4;3;3;3;8;4;5;4;7;4;4;4;3;4;4;3;4;5;3;4;4;2;3;3;2;2;2,time,0.25;0.2;0.166667;0.142857;0.125,1943.913136
76,120,18000,174.848106,33,5;4;4;4;3;3;3;5;3;6;4;5;4;3;3;4;4;4;4;3;4;3;4;5;3;3;3;3;3;3;4;3;1,time,0.25;0.2;0.166667;0.142857;0.125,1949.411998
77,120,18000,173.131652,28,5;5;7;3;4;4;6;4;4;4;4;4;4;5;4;4;5;4;4;5;3;3;3;4;3;5;4;6,time,0.25;0.2;0.166667;0.142857;0.125,1993.072355
78,120,18000,186.949520,28,5;4;4;4;5;6;4;8;4;4;4;3;3;5;3;4;4;4;3;4;5;5;4;4;4;3;4;6,time,0.25;0.2;0.166667;0.142857;0.125,1998.370187
79,120,18000,165.872114,32,3;4;4;3;4;4;3;4;4;3;3;5;3;4;6;5;3;4;4;5;4;3;3;7;4;3;3;3;3;3;3;3,time,0.25;0.2;0.166667;0.142857;0.125,1901.479569
80,120,18000,170.468587,31,5;5;5;5;4;3;5;4;3;6;3;4;4;5;3;3;4;3;3;5;4;3;4;3;4;4;3;4;3;3;3,time,0.25;0.2;0.166667;0.142857;0.125,1982.387881
81,120,18000,148.755573,31,4;4;6;3;4;7;4;4;3;3;4;4;6;3;7;5;5;3;4;5;3;3;3;3;4;3;3;3;3;2;2,time,0.25;0.2;0.166667;0.142857;0.125,1904.518407
82,120,18000,154.487738,32,5;6;4;5;4;4;3;4;8;4;3;5;4;4;4;3;3;3;3;3;4;4;4;3;3;3;4;2;2;4;3;2,time,0.25;0.2;0.166667;0.142857;0.125,1940.404186
83,120,18000,140.957549,31,4;3;3;3;5;4;4;3;6;3;6;5;3;4;6;5;3;3;5;3;3;4;3;4;5;5;3;3;3;3;3,time,0.25;0.2;0.166667;0.142857;0.125,1925.342212
84,120,18000,139.695315,33,4;4;5;5;4;3;6;4;3;4;4;4;3;4;7;3;3;3;3;3;5;4;3;4;4;3;3;3;3;3;2;3;1,time,0.25;0.2;0.166667;0.142857;0.125,1927.612442
85,120,18000,141.346278,29,5;5;4;6;6;4;5;4;5;5;4;4;7;4;3;4;3;4;3;3;5;4;3;4;3;4;4;3;2,time,0.25;0.2;0.166667;0.142857;0.125,1960.826847
86,120,18000,190.878205,29,6;3;3;5;4;5;3;5;4;3;6;4;5;5;3;3;3;3;8;6;3;5;6;3;4;3;3;3;3,time,0.25;0.2;0.166667;0.142857;0.125,1946.977627
87,120,18000,220.900482,32,5;4;4;5;4;3;4;4;4;6;4;4;5;5;3;6;4;3;3;3;3;5;3;3;3;3;4;2;4;2;3;2,time,0.25;0.2;0.166667;0.142857;0.125,1976.569306
88,120,18000,180.155274,31,6;3;4;5;7;4;5;5;3;4;5;3;4;4;5;3;4;3;4;3;3;4;5;3;2;3;3;4;3;3;3,time,0.25;0.2;0.166667;0.142857;0.125,1926.372696
89,120,18000,191.062247,31,5;3;4;6;3;4;4;3;4;4;4;5;4;3;4;6;6;6;4;4;4;3;4;4;3;3;3;2;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,1951.159082
90,120,18000,191.921644,28,6;3;7;6;4;5;7;4;6;3;7;4;4;3;4;8;4;3;4;4;3;4;3;3;3;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,1958.740241
91,120,18000,188.148107,30,5;5;4;4;5;4;4;3;3;3;5;4;5;4;4;4;4;8;5;6;3;3;3;3;3;3;3;3;4;3,time,0.25;0.2;0.166667;0.142857;0.125,1927.802297
92,120,18000,197.196489,31,7;3;4;6;3;4;4;3;4;3;6;3;4;4;5;5;4;3;6;4;3;3;4;4;4;3;3;2;4;3;2,time,0.25;0.2;0.166667;0.142857;0.125,1944.277524
93,120,18000,137.437834,31,6;5;5;6;3;4;3;5;3;4;5;4;4;4;4;3;3;8;4;3;3;4;3;3;3;5;3;3;3;2;2,time,0.25;0.2;0.166667;0.142857;0.125,1942.536146
94,120,18000,179.570206,34,5;4;5;4;3;3;4;3;3;3;3;3;5;5;4;7;3;3;3;4;3;3;3;4;3;3;4;3;4;2;3;3;2;3,time,0.25;0.2;0.166667;0.142857;0.125,1894.278800
95,120,18000,176.680934,29,6;6;6;3;4;5;6;3;4;6;4;5;6;5;3;3;5;3;3;6;4;4;3;3;3;2;2;3;4,time,0.25;0.2;0.166667;0.142857;0.125,1963.813598
96,120,18000,171.101415,31,6;5;5;5;4;4;3;4;4;4;3;3;3;3;3;4;5;3;3;7;4;4;3;4;4;4;3;3;4;3;3,time,0.25;0.2;0.166667;0.142857;0.125,1955.234044
97,120,18000,169.397488,31,5;4;3;3;5;5;4;4;5;4;3;4;3;4;5;7;6;4;3;3;5;4;3;4;3;3;3;3;3;2;3,time,0.25;0.2;0.166667;0.142857;0.125,1938.161307
98,120,18000,146.857009,31,4;5;5;3;6;3;4;5;3;4;4;4;3;5;5;3;5;5;5;5;3;3;5;4;3;3;3;3;2;3;2,time,0.25;0.2;0.166667;0.142857;0.125,1934.532962
99,120,18000,213.364541,30,5;4;4;5;3;3;5;4;4;6;5;4;4;4;3;3;5;4;4;4;4;3;3;4;4;4;4;3;5;3,time,0.25;0.2;0.166667;0.142857;0.125,1949.225909
100,120,18000,153.642090,32,5;3;5;4;4;6;4;3;4;3;4;3;3;3;3;4;5;3;4;4;4;3;5;5;3;4;4;4;3;4;3;1,time,0.25;0.2;0.166667;0.142857;0.125,1943.956005
101,120,18000,183.472693,30,4;3;7;4;5;5;3;5;7;5;6;4;7;3;4;5;3;3;3;3;3;3;3;4;4;3;3;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,1955.294749
102,120,18000,182.254142,33,5;4;4;4;3;3;4;6;3;7;4;3;7;3;4;3;4;3;3;3;4;4;5;3;3;3;2;2;3;2;3;3;3,time,0.25;0.2;0.166667;0.142857;0.125,1957.144924
103,120,18000,182.659534,30,4;5;6;4;3;4;4;4;4;3;5;4;3;6;6;4;3;6;6;3;4;3;3;3;3;3;4;3;4;3,time,0.25;0.2;0.166667;0.142857;0.125,1947.283147
104,120,18000,165.746787,30,5;4;4;5;4;3;3;3;4;6;5;5;3;4;4;5;4;4;4;5;4;5;4;3;3;3;3;4;4;3,time,0.25;0.2;0.166667;0.142857;0.125,1969.736456
105,120,18000,184.199593,32,4;3;3;5;4;3;4;4;3;4;4;6;6;4;4;4;3;3;5;3;4;4;3;5;5;4;4;3;3;3;2;1,time,0.25;0.2;0.166667;0.142857;0.125,2016.886099
106,120,18000,172.938062,30,4;4;4;5;6;4;5;5;4;3;3;4;3;3;6;3;3;4;8;3;3;5;4;5;4;5;3;3;2;2,time,0.25;0.2;0.166667;0.142857;0.125,1957.246465
107,120,18000,134.199891,29,4;4;4;4;4;5;4;4;5;4;4;3;3;5;4;6;5;6;4;3;4;6;4;3;3;4;3;5;3,time,0.25;0.2;0.166667;0.142857;0.125,1921.073713
108,120,18000,137.644206,31,3;5;4;5;7;5;4;6;3;3;4;3;4;3;5;6;6;3;4;4;4;3;4;3;3;4;3;2;3;2;2,time,0.25;0.2;0.166667;0.142857;0.125,1931.661072
109,120,18000,199.646222,31,4;5;6;5;4;5;5;3;5;4;3;4;4;3;5;6;6;6;3;3;3;2;3;3;3;4;3;3;2;2;3,time,0.25;0.2;0.166667;0.142857;0.125,1967.675221
110,120,18000,196.569669,30,5;5;4;3;5;5;6;5;8;5;3;3;5;3;4;3;5;4;5;3;3;4;4;3;4;3;3;3;2;2,time,0.25;0.2;0.166667;0.142857;0.125,1981.318286
111,120,18000,129.996678,30,5;6;4;6;3;4;4;4;6;6;6;6;5;4;3;3;4;5;3;3;3;4;3;4;2;3;3;2;3;3,time,0.25;0.2;0.166667;0.142857;0.125,1926.049344
112,120,18000,135.515126,31,6;4;4;5;4;4;4;5;6;5;4;5;4;3;7;7;3;2;3;3;2;3;2;3;4;3;3;3;3;3;3,time,0.25;0.2;0.166667;0.142857;0.125,1941.812389
113,120,18000,143.704095,30,7;5;5;5;3;4;3;4;4;3;6;4;4;4;5;4;4;4;3;4;3;4;3;3;4;4;3;3;6;2,time,0.25;0.2;0.166667;0.142857;0.125,1926.642043
114,120,18000,154.686363,31,3;5;10;4;6;6;3;4;3;3;4;3;4;3;4;3;3;5;3;5;3;3;3;3;4;4;4;3;4;3;2,time,0.25;0.2;0.166667;0.142857;0.125,1932.155806
115,120,18000,152.149640,29,4;5;4;5;6;4;4;5;3;7;7;5;5;5;4;3;4;4;4;5;4;4;3;3;2;3;3;2;3,time,0.25;0.2;0.166667;0.142857;0.125,1967.904713
116,120,18000,165.972547,32,6;4;6;4;3;4;3;5;3;4;3;4;4;4;4;5;4;5;3;4;3;3;3;3;4;3;3;4;3;4;3;2,time,0.25;0.2;0.166667;0.142857;0.125,1941.166080
117,120,18000,185.690113,32,5;6;5;4;7;3;4;4;3;4;4;5;5;5;4;3;3;4;4;3;4;3;3;3;3;3;3;3;3;2;2;3,time,0.25;0.2;0.166667;0.142857;0.125,1930.495167
118,120,18000,184.453307,30,4;3;6;3;5;4;4;5;7;3;4;5;4;5;6;6;5;3;3;3;3;5;3;3;3;4;4;3;2;2,time,0.25;0.2;0.166667;0.142857;0.125,1952.324592
119,120,18000,152.299788,28,6;5;8;3;6;4;3;3;4;6;3;5;7;5;7;7;4;3;4;3;3;3;4;3;3;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,1941.441673
120,120,18000,218.902998,31,5;5;4;4;4;3;4;7;5;5;5;4;4;3;4;4;3;3;4;3;8;4;3;3;3;4;2;3;3;2;2,time,0.25;0.2;0.166667;0.142857;0.125,1961.965963
121,120,18000,186.327873,31,5;5;3;4;4;4;5;5;4;5;3;5;4;3;4;4;5;3;4;3;3;3;3;3;3;3;4;4;4;5;3,time,0.25;0.2;0.166667;0.142857;0.125,1938.730946
122,120,18000,196.520717,29,6;4;4;4;4;6;5;5;4;3;5;4;5;4;6;4;6;3;5;3;5;3;4;3;3;4;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,1965.203487
123,120,18000,150.479773,32,5;5;4;3;4;3;7;4;7;7;6;3;5;3;4;3;3;3;3;3;3;3;4;3;4;2;3;3;3;2;2;3,time,0.25;0.2;0.166667;0.142857;0.125,1921.595712
124,120,18000,152.850946,32,5;5;4;4;4;4;4;5;4;5;3;4;3;4;4;3;3;5;5;4;3;3;4;3;3;3;3;4;3;3;3;3,time,0.25;0.2;0.166667;0.142857;0.125,1949.099513
125,120,18000,140.096988,30,3;6;7;3;5;6;3;4;5;3;6;4;4;3;6;3;4;3;4;4;3;3;3;3;3;4;3;5;5;2,time,0.25;0.2;0.166667;0.142857;0.125,1928.891093
126,120,18000,201.964320,30,5;3;4;7;4;4;5;4;4;5;3;3;8;6;4;5;3;4;4;6;5;4;2;3;3;3;2;2;2;3,time,0.25;0.2;0.166667;0.142857;0.125,1955.769297
127,120,18000,159.519867,30,5;5;4;4;4;3;3;4;4;4;4;4;3;4;4;6;3;4;6;5;3;5;7;3;3;4;4;3;3;2,time,0.25;0.2;0.166667;0.142857;0.125,1960.432229
128,120,18000,180.214512,32,4;6;3;3;3;3;3;4;3;4;3;3;4;3;3;4;3;4;5;6;3;5;4;3;4;4;5;4;6;4;3;1,time,0.25;0.2;0.166667;0.142857;0.125,1961.703579
129,120,18000,162.904000,29,4;4;6;3;4;7;5;4;4;5;4;5;7;4;5;5;4;3;5;3;4;3;4;3;3;3;3;3;3,time,0.25;0.2;0.166667;0.142857;0.125,1959.609120
